Date,Issue,Security Name,Sector,Component Weight (JPX-Nikkei 400)
31-01-2020,"HANKYU HANSHIN HOLDINGS, INC.",9042,Land Transportation,0.31%
31-01-2020,"KEIHAN HOLDINGS CO., LTD.",9045,Land Transportation,0.15%
31-01-2020,"NAGOYA RAILROAD CO., LTD.",9048,Land Transportation,0.18%
31-01-2020,"NIPPON EXPRESS CO., LTD.",9062,Land Transportation,0.11%
31-01-2020,"YAMATO HOLDINGS CO., LTD.",9064,Land Transportation,0.16%
31-01-2020,SANKYU INC.,9065,Land Transportation,0.08%
31-01-2020,"HITACHI TRANSPORT SYS., LTD.",9086,Land Transportation,0.03%
31-01-2020,"JAPAN AIRLINES CO., LTD.",9201,Air Transportation,0.29%
31-01-2020,ANA HOLDINGS INC.,9202,Air Transportation,0.32%
31-01-2020,"NIPPON TELEVISION HOLDINGS, INC.",9404,Information & Communication,0.07%
31-01-2020,NIPPON TELEGRAPH & TELEPHONE CORP.,9432,Information & Communication,1.51%
31-01-2020,KDDI CORP.,9433,Information & Communication,1.30%
31-01-2020,"HIKARI TSUSHIN, INC.",9435,Information & Communication,0.15%
31-01-2020,"NTT DOCOMO, INC.",9437,Information & Communication,1.23%
31-01-2020,"CHUBU ELECTRIC POWER CO., INC.",9502,Electric Power and Gas,0.25%
31-01-2020,"THE KANSAI ELECTRIC POWER CO., INC.",9503,Electric Power and Gas,0.25%
31-01-2020,"TOHOKU ELECTRIC POWER CO., INC.",9506,Electric Power and Gas,0.14%
31-01-2020,"KYUSHU ELECTRIC POWER CO., INC.",9508,Electric Power and Gas,0.10%
31-01-2020,"ELECTRIC POWER DEVELOPMENT CO., LTD.",9513,Electric Power and Gas,0.11%
31-01-2020,"TOKYO GAS CO., LTD.",9531,Electric Power and Gas,0.25%
31-01-2020,"OSAKA GAS CO., LTD.",9532,Electric Power and Gas,0.20%
31-01-2020,"TOHO CO., LTD",9602,Information & Communication,0.13%
31-01-2020,NTT DATA CORP.,9613,Information & Communication,0.22%
31-01-2020,AIN HOLDINGS INC.,9627,Retail Trade,0.04%
31-01-2020,"KANAMOTO CO., LTD.",9678,Services,0.02%
31-01-2020,"SQUARE ENIX HOLDINGS CO., LTD.",9684,Information & Communication,0.12%
31-01-2020,"CAPCOM CO., LTD.",9697,Information & Communication,0.08%
31-01-2020,"JAPAN AIRPORT TERMINAL CO., LTD.",9706,Real Estate,0.09%
31-01-2020,SCSK CORP.,9719,Information & Communication,0.07%
31-01-2020,"SECOM CO., LTD.",9735,Services,0.54%
31-01-2020,MEITEC CORP.,9744,Services,0.04%
31-01-2020,KONAMI HOLDINGS CORP.,9766,Information & Communication,0.08%
31-01-2020,NIPPON STEEL TRADING CORP.,9810,Wholesale Trade,0.02%
31-01-2020,"NITORI HOLDINGS CO., LTD.",9843,Retail Trade,0.39%
31-01-2020,MISUMI GROUP INC.,9962,Wholesale Trade,0.19%
31-01-2020,"FAST RETAILING CO., LTD.",9983,Retail Trade,0.43%
31-01-2020,SOFTBANK GROUP CORP.,9984,Information & Communication,1.16%
31-01-2020,"SUNDRUG CO., LTD.",9989,Retail Trade,0.08%
