"Date","Issue","Code","Sector","Component Weight (JPX-Nikkei 400)"
"2020/01/31","TOKIO MARINE HOLDINGS, INC.","8766","Insurance","1.1484%"
"2020/01/31","T&D HOLDINGS, INC.","8795","Insurance","0.1910%"
"2020/01/31","MITSUI FUDOSAN CO., LTD.","8801","Real Estate","0.7705%"
"2020/01/31","MITSUBISHI ESTATE CO., LTD.","8802","Real Estate","0.8091%"
"2020/01/31","TOKYO TATEMONO CO., LTD.","8804","Real Estate","0.1044%"
"2020/01/31","SUMITOMO REALTY & DEVELOPMENT CO., LTD.","8830","Real Estate","0.4885%"
"2020/01/31","STARTS CORPORATION INC.","8850","Real Estate","0.0194%"
"2020/01/31","RELO GROUP, INC.","8876","Services","0.0839%"
"2020/01/31","AEON MALL CO., LTD.","8905","Real Estate","0.0491%"
"2020/01/31","TOBU RAILWAY CO., LTD.","9001","Land Transportation","0.2221%"
"2020/01/31","SOTETSU HOLDINGS, INC.","9003","Land Transportation","0.0682%"
"2020/01/31","TOKYU CORP.","9005","Land Transportation","0.2651%"
"2020/01/31","ODAKYU ELECTRIC RAILWAY CO., LTD.","9007","Land Transportation","0.1971%"
"2020/01/31","KEIO CORP.","9008","Land Transportation","0.1773%"
"2020/01/31","KEISEI ELECTRIC RAILWAY CO., LTD.","9009","Land Transportation","0.1503%"
"2020/01/31","EAST JAPAN RAILWAY CO.","9020","Land Transportation","0.9288%"
"2020/01/31","WEST JAPAN RAILWAY CO.","9021","Land Transportation","0.4496%"
"2020/01/31","CENTRAL JAPAN RAILWAY CO., LTD.","9022","Land Transportation","0.9764%"
"2020/01/31","SEIBU HOLDINGS INC.","9024","Land Transportation","0.1249%"
"2020/01/31","KINTETSU GROUP HOLDINGS CO., LTD.","9041","Land Transportation","0.2973%"
"2020/01/31","HANKYU HANSHIN HOLDINGS, INC.","9042","Land Transportation","0.3072%"
"2020/01/31","KEIHAN HOLDINGS CO., LTD.","9045","Land Transportation","0.1519%"
"2020/01/31","NAGOYA RAILROAD CO., LTD.","9048","Land Transportation","0.1816%"
"2020/01/31","NIPPON EXPRESS CO., LTD.","9062","Land Transportation","0.1051%"
"2020/01/31","YAMATO HOLDINGS CO., LTD.","9064","Land Transportation","0.1603%"
"2020/01/31","SANKYU INC.","9065","Land Transportation","0.0778%"
"2020/01/31","HITACHI TRANSPORT SYS., LTD.","9086","Land Transportation","0.0298%"
"2020/01/31","JAPAN AIRLINES CO., LTD.","9201","Air Transportation","0.2871%"
"2020/01/31","ANA HOLDINGS INC.","9202","Air Transportation","0.3225%"
"2020/01/31","NIPPON TELEVISION HOLDINGS, INC.","9404","Information & Communication","0.0663%"
"2020/01/31","NIPPON TELEGRAPH & TELEPHONE CORP.","9432","Information & Communication","1.5138%"
"2020/01/31","KDDI CORP.","9433","Information & Communication","1.3013%"
"2020/01/31","HIKARI TSUSHIN, INC.","9435","Information & Communication","0.1487%"
"2020/01/31","NTT DOCOMO, INC.","9437","Information & Communication","1.2252%"
"2020/01/31","CHUBU ELECTRIC POWER CO., INC.","9502","Electric Power and Gas","0.2477%"
"2020/01/31","THE KANSAI ELECTRIC POWER CO., INC.","9503","Electric Power and Gas","0.2531%"
"2020/01/31","TOHOKU ELECTRIC POWER CO., INC.","9506","Electric Power and Gas","0.1397%"
"2020/01/31","KYUSHU ELECTRIC POWER CO., INC.","9508","Electric Power and Gas","0.1009%"
"2020/01/31","ELECTRIC POWER DEVELOPMENT CO., LTD.","9513","Electric Power and Gas","0.1073%"
"2020/01/31","TOKYO GAS CO., LTD.","9531","Electric Power and Gas","0.2519%"
"2020/01/31","OSAKA GAS CO., LTD.","9532","Electric Power and Gas","0.1960%"
"2020/01/31","TOHO CO., LTD","9602","Information & Communication","0.1291%"
"2020/01/31","NTT DATA CORP.","9613","Information & Communication","0.2210%"
"2020/01/31","AIN HOLDINGS INC.","9627","Retail Trade","0.0440%"
"2020/01/31","KANAMOTO CO., LTD.","9678","Services","0.0232%"
"2020/01/31","SQUARE ENIX HOLDINGS CO., LTD.","9684","Information & Communication","0.1225%"
"2020/01/31","CAPCOM CO., LTD.","9697","Information & Communication","0.0783%"
"2020/01/31","JAPAN AIRPORT TERMINAL CO., LTD.","9706","Real Estate","0.0875%"
"2020/01/31","SCSK CORP.","9719","Information & Communication","0.0728%"
"2020/01/31","SECOM CO., LTD.","9735","Services","0.5358%"
"2020/01/31","MEITEC CORP.","9744","Services","0.0405%"
"2020/01/31","KONAMI HOLDINGS CORP.","9766","Information & Communication","0.0822%"
"2020/01/31","NIPPON STEEL TRADING CORP.","9810","Wholesale Trade","0.0190%"
"2020/01/31","NITORI HOLDINGS CO., LTD.","9843","Retail Trade","0.3940%"
"2020/01/31","MISUMI GROUP INC.","9962","Wholesale Trade","0.1860%"
"2020/01/31","FAST RETAILING CO., LTD.","9983","Retail Trade","0.4253%"
"2020/01/31","SOFTBANK GROUP CORP.","9984","Information & Communication","1.1596%"
"2020/01/31","SUNDRUG CO., LTD.","9989","Retail Trade","0.0752%"
"This material is a copyrightable work of Nikkei, JPX and TSE. It is prohibited to copy, reproduce, reprint, or circulate all or part of this material in any form without permission from Nikkei, JPX and TSE."
